No,チャプター名,カテゴリ名,親カテゴリ名,ナレッジタイトル（ノウハウ名）,ナレッジ概要,チェックアイテム名,検索手順,検索実施,移植要因,難易度,難易度詳細,目視確認,ヒアリング確認,検索対象ファイル,検索キーワード１,検索キーワード２,検索モジュール,ライン数算出,非算出理由,不明/TODO,ライン数,ライン数根拠,調査内容
36,,ADD_MONTHS (FNC-001-001),FUNC MIGRATION,knowledge-36,,item-19,ADD_MONTHS\s*\(,TRUE,DBMS の変更,Low,低1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,ADD_MONTHS\s*\(
36,,ADD_MONTHS (FNC-001-001),FUNC MIGRATION,knowledge-36,,item-20,ADD_MONTHS\s*\(,TRUE,DBMS の変更,Low,低1,check,,*.properties,ADD_MONTHS\s*\(,,,TRUE,,TODO:SE 手動算出,,,ADD_MONTHS\s*\(
37,,ASCII,FUNC MIGRATION,knowledge-37,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
38,,ASCII (FNC-002-001),ASCII,knowledge-38,<ns3:para>ASCII\s*\( このまま移行する場合、fromdbではデータベース・キャラクタ・セットがASCIIとEBCDIC コードの場合があり、EBCDIC コードが引数の場合はEBCDIC コードの値を返すので注意が必要です。</ns3:para>,item-21,ASCII\s*\(,TRUE,DBMS の変更,Unknown,不明2,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,ASCII\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,ASCII\s*\(
38,,ASCII (FNC-002-001),ASCII,knowledge-38,,item-22,ASCII\s*\(,TRUE,DBMS の変更,Unknown,不明2,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,ASCII\s*\(
38,,ASCII (FNC-002-001),ASCII,knowledge-38,,item-23,ASCII\s*\(,TRUE,DBMS の変更,Unknown,不明2,check,,*.properties,ASCII\s*\(,,,TRUE,,TODO:SE 手動算出,,,ASCII\s*\(
39,,AVG,FUNC MIGRATION,knowledge-39,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
40,,AVG (FNC-003-001),AVG,knowledge-40,<ns3:para>AVG\s*\(.*?\)\s*OVER pattern関数を含む、未サポートの構文を使用しています。</ns3:para>,item-24,AVG\s*\(.*?\)\s*OVER,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,AVG\s*\(.*?\)\s*OVER,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,AVG\s*\(.*?\)\s*OVER
40,,AVG (FNC-003-001),AVG,knowledge-40,,item-25,AVG\s*\(.*?\)\s*OVER,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,AVG\s*\(.*?\)\s*OVER
40,,AVG (FNC-003-001),AVG,knowledge-40,,item-26,AVG\s*\(.*?\)\s*OVER,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,AVG\s*\(.*?\)\s*OVER,,,TRUE,,TODO:SE 手動算出,,,AVG\s*\(.*?\)\s*OVER
