No,チャプター名,カテゴリ名,親カテゴリ名,ナレッジタイトル（ノウハウ名）,ナレッジ概要,チェックアイテム名,検索手順,検索実施,移植要因,難易度,難易度詳細,目視確認,ヒアリング確認,検索対象ファイル,検索キーワード１,検索キーワード２,検索モジュール,ライン数算出,非算出理由,不明/TODO,ライン数,ライン数根拠,調査内容
914,,GRANT (SQL-113-048),GRANT,knowledge-914,<ns3:para>GRANT (ALTER ANY OUTLINE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1650,GRANT ($1 :ALTER ANY OUTLINE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT ALTER ANY OUTLINE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ANY OUTLINE)
914,,GRANT (SQL-113-048),GRANT,knowledge-914,,item-1651,GRANT ($1 :ALTER ANY OUTLINE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ANY OUTLINE)
914,,GRANT (SQL-113-048),GRANT,knowledge-914,,item-1652,GRANT ($1 :ALTER ANY OUTLINE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT ALTER ANY OUTLINE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ANY OUTLINE)
915,,GRANT (SQL-113-049),GRANT,knowledge-915,<ns3:para>GRANT (DROP ANY OUTLINE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1653,GRANT ($1 :DROP ANY OUTLINE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT DROP ANY OUTLINE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ANY OUTLINE)
915,,GRANT (SQL-113-049),GRANT,knowledge-915,,item-1654,GRANT ($1 :DROP ANY OUTLINE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ANY OUTLINE)
915,,GRANT (SQL-113-049),GRANT,knowledge-915,,item-1655,GRANT ($1 :DROP ANY OUTLINE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT DROP ANY OUTLINE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ANY OUTLINE)
916,,GRANT (SQL-113-050),GRANT,knowledge-916,<ns3:para>GRANT (CREATE PROCEDURE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1656,GRANT ($1 :CREATE PROCEDURE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT CREATE PROCEDURE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE PROCEDURE)
916,,GRANT (SQL-113-050),GRANT,knowledge-916,,item-1657,GRANT ($1 :CREATE PROCEDURE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE PROCEDURE)
916,,GRANT (SQL-113-050),GRANT,knowledge-916,,item-1658,GRANT ($1 :CREATE PROCEDURE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT CREATE PROCEDURE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE PROCEDURE)
917,,GRANT (SQL-113-051),GRANT,knowledge-917,<ns3:para>GRANT (CREATE ANY PROCEDURE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1659,GRANT ($1 :CREATE ANY PROCEDURE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT CREATE ANY PROCEDURE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE ANY PROCEDURE)
917,,GRANT (SQL-113-051),GRANT,knowledge-917,,item-1660,GRANT ($1 :CREATE ANY PROCEDURE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE ANY PROCEDURE)
917,,GRANT (SQL-113-051),GRANT,knowledge-917,,item-1661,GRANT ($1 :CREATE ANY PROCEDURE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT CREATE ANY PROCEDURE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE ANY PROCEDURE)
918,,GRANT (SQL-113-052),GRANT,knowledge-918,<ns3:para>GRANT (ALTER ANY PROCEDURE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1662,GRANT ($1 :ALTER ANY PROCEDURE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT ALTER ANY PROCEDURE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ANY PROCEDURE)
918,,GRANT (SQL-113-052),GRANT,knowledge-918,,item-1663,GRANT ($1 :ALTER ANY PROCEDURE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ANY PROCEDURE)
918,,GRANT (SQL-113-052),GRANT,knowledge-918,,item-1664,GRANT ($1 :ALTER ANY PROCEDURE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT ALTER ANY PROCEDURE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ANY PROCEDURE)
919,,GRANT (SQL-113-053),GRANT,knowledge-919,<ns3:para>GRANT (DROP ANY PROCEDURE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1665,GRANT ($1 :DROP ANY PROCEDURE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT DROP ANY PROCEDURE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ANY PROCEDURE)
919,,GRANT (SQL-113-053),GRANT,knowledge-919,,item-1666,GRANT ($1 :DROP ANY PROCEDURE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ANY PROCEDURE)
919,,GRANT (SQL-113-053),GRANT,knowledge-919,,item-1667,GRANT ($1 :DROP ANY PROCEDURE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT DROP ANY PROCEDURE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ANY PROCEDURE)
920,,GRANT (SQL-113-054),GRANT,knowledge-920,<ns3:para>GRANT (EXECUTE ANY PROCEDURE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1668,GRANT ($1 :EXECUTE ANY PROCEDURE),TRUE,DBMS の変更,Low,低2,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT EXECUTE ANY PROCEDURE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :EXECUTE ANY PROCEDURE)
920,,GRANT (SQL-113-054),GRANT,knowledge-920,,item-1669,GRANT ($1 :EXECUTE ANY PROCEDURE),TRUE,DBMS の変更,Low,低2,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :EXECUTE ANY PROCEDURE)
920,,GRANT (SQL-113-054),GRANT,knowledge-920,,item-1670,GRANT ($1 :EXECUTE ANY PROCEDURE),TRUE,DBMS の変更,Low,低2,check,,*.properties,GRANT EXECUTE ANY PROCEDURE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :EXECUTE ANY PROCEDURE)
921,,GRANT (SQL-113-055),GRANT,knowledge-921,<ns3:para>GRANT (CREATE PROFILE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1671,GRANT ($1 :CREATE PROFILE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT CREATE PROFILE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE PROFILE)
921,,GRANT (SQL-113-055),GRANT,knowledge-921,,item-1672,GRANT ($1 :CREATE PROFILE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE PROFILE)
921,,GRANT (SQL-113-055),GRANT,knowledge-921,,item-1673,GRANT ($1 :CREATE PROFILE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT CREATE PROFILE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE PROFILE)
922,,GRANT (SQL-113-056),GRANT,knowledge-922,<ns3:para>GRANT (ALTER PROFILE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1674,GRANT ($1 :ALTER PROFILE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT ALTER PROFILE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER PROFILE)
922,,GRANT (SQL-113-056),GRANT,knowledge-922,,item-1675,GRANT ($1 :ALTER PROFILE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER PROFILE)
922,,GRANT (SQL-113-056),GRANT,knowledge-922,,item-1676,GRANT ($1 :ALTER PROFILE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT ALTER PROFILE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER PROFILE)
923,,GRANT (SQL-113-057),GRANT,knowledge-923,<ns3:para>GRANT (DROP PROFILE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1677,GRANT ($1 :DROP PROFILE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT DROP PROFILE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP PROFILE)
923,,GRANT (SQL-113-057),GRANT,knowledge-923,,item-1678,GRANT ($1 :DROP PROFILE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP PROFILE)
923,,GRANT (SQL-113-057),GRANT,knowledge-923,,item-1679,GRANT ($1 :DROP PROFILE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT DROP PROFILE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP PROFILE)
924,,GRANT (SQL-113-058),GRANT,knowledge-924,<ns3:para>GRANT (CREATE ROLE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1680,GRANT ($1 :CREATE ROLE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT CREATE ROLE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE ROLE)
924,,GRANT (SQL-113-058),GRANT,knowledge-924,,item-1681,GRANT ($1 :CREATE ROLE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE ROLE)
924,,GRANT (SQL-113-058),GRANT,knowledge-924,,item-1682,GRANT ($1 :CREATE ROLE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT CREATE ROLE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE ROLE)
925,,GRANT (SQL-113-059),GRANT,knowledge-925,<ns3:para>GRANT (ALTER ANY ROLE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1683,GRANT ($1 :ALTER ANY ROLE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT ALTER ANY ROLE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ANY ROLE)
925,,GRANT (SQL-113-059),GRANT,knowledge-925,,item-1684,GRANT ($1 :ALTER ANY ROLE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ANY ROLE)
925,,GRANT (SQL-113-059),GRANT,knowledge-925,,item-1685,GRANT ($1 :ALTER ANY ROLE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT ALTER ANY ROLE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ANY ROLE)
926,,GRANT (SQL-113-060),GRANT,knowledge-926,<ns3:para>GRANT (DROP ANY ROLE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1686,GRANT ($1 :DROP ANY ROLE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT DROP ANY ROLE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ANY ROLE)
926,,GRANT (SQL-113-060),GRANT,knowledge-926,,item-1687,GRANT ($1 :DROP ANY ROLE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ANY ROLE)
926,,GRANT (SQL-113-060),GRANT,knowledge-926,,item-1688,GRANT ($1 :DROP ANY ROLE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT DROP ANY ROLE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ANY ROLE)
927,,GRANT (SQL-113-061),GRANT,knowledge-927,<ns3:para>GRANT (GRANT ANY ROLE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1689,GRANT ($1 :GRANT ANY ROLE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT GRANT ANY ROLE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :GRANT ANY ROLE)
927,,GRANT (SQL-113-061),GRANT,knowledge-927,,item-1690,GRANT ($1 :GRANT ANY ROLE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :GRANT ANY ROLE)
927,,GRANT (SQL-113-061),GRANT,knowledge-927,,item-1691,GRANT ($1 :GRANT ANY ROLE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT GRANT ANY ROLE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :GRANT ANY ROLE)
928,,GRANT (SQL-113-062),GRANT,knowledge-928,<ns3:para>GRANT (CREATE ROLLBACK SEGMENT) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1692,GRANT ($1 :CREATE ROLLBACK SEGMENT),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT CREATE ROLLBACK SEGMENT,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE ROLLBACK SEGMENT)
928,,GRANT (SQL-113-062),GRANT,knowledge-928,,item-1693,GRANT ($1 :CREATE ROLLBACK SEGMENT),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE ROLLBACK SEGMENT)
928,,GRANT (SQL-113-062),GRANT,knowledge-928,,item-1694,GRANT ($1 :CREATE ROLLBACK SEGMENT),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT CREATE ROLLBACK SEGMENT,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE ROLLBACK SEGMENT)
929,,GRANT (SQL-113-063),GRANT,knowledge-929,<ns3:para>GRANT (ALTER ROLLBACK SEGMENT) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1695,GRANT ($1 :ALTER ROLLBACK SEGMENT),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT ALTER ROLLBACK SEGMENT,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ROLLBACK SEGMENT)
929,,GRANT (SQL-113-063),GRANT,knowledge-929,,item-1696,GRANT ($1 :ALTER ROLLBACK SEGMENT),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ROLLBACK SEGMENT)
929,,GRANT (SQL-113-063),GRANT,knowledge-929,,item-1697,GRANT ($1 :ALTER ROLLBACK SEGMENT),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT ALTER ROLLBACK SEGMENT,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ROLLBACK SEGMENT)
930,,GRANT (SQL-113-064),GRANT,knowledge-930,<ns3:para>GRANT (DROP ROLLBACK SEGMENT) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1698,GRANT ($1 :DROP ROLLBACK SEGMENT),TRUE,DBMS の変更,Low,低1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT DROP ROLLBACK SEGMENT,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ROLLBACK SEGMENT)
930,,GRANT (SQL-113-064),GRANT,knowledge-930,,item-1699,GRANT ($1 :DROP ROLLBACK SEGMENT),TRUE,DBMS の変更,Low,低1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ROLLBACK SEGMENT)
930,,GRANT (SQL-113-064),GRANT,knowledge-930,,item-1700,GRANT ($1 :DROP ROLLBACK SEGMENT),TRUE,DBMS の変更,Low,低1,check,,*.properties,GRANT DROP ROLLBACK SEGMENT,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ROLLBACK SEGMENT)
931,,GRANT (SQL-113-065),GRANT,knowledge-931,<ns3:para>GRANT (CREATE SEQUENCE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1701,GRANT ($1 :CREATE SEQUENCE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT CREATE SEQUENCE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE SEQUENCE)
931,,GRANT (SQL-113-065),GRANT,knowledge-931,,item-1702,GRANT ($1 :CREATE SEQUENCE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE SEQUENCE)
931,,GRANT (SQL-113-065),GRANT,knowledge-931,,item-1703,GRANT ($1 :CREATE SEQUENCE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT CREATE SEQUENCE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE SEQUENCE)
932,,GRANT (SQL-113-066),GRANT,knowledge-932,<ns3:para>GRANT (CREATE ANY SEQUENCE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1704,GRANT ($1 :CREATE ANY SEQUENCE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT CREATE ANY SEQUENCE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE ANY SEQUENCE)
932,,GRANT (SQL-113-066),GRANT,knowledge-932,,item-1705,GRANT ($1 :CREATE ANY SEQUENCE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE ANY SEQUENCE)
932,,GRANT (SQL-113-066),GRANT,knowledge-932,,item-1706,GRANT ($1 :CREATE ANY SEQUENCE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT CREATE ANY SEQUENCE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :CREATE ANY SEQUENCE)
933,,GRANT (SQL-113-067),GRANT,knowledge-933,<ns3:para>GRANT (ALTER ANY SEQUENCE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1707,GRANT ($1 :ALTER ANY SEQUENCE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT ALTER ANY SEQUENCE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ANY SEQUENCE)
933,,GRANT (SQL-113-067),GRANT,knowledge-933,,item-1708,GRANT ($1 :ALTER ANY SEQUENCE),TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ANY SEQUENCE)
933,,GRANT (SQL-113-067),GRANT,knowledge-933,,item-1709,GRANT ($1 :ALTER ANY SEQUENCE),TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,GRANT ALTER ANY SEQUENCE,,,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :ALTER ANY SEQUENCE)
934,,GRANT (SQL-113-068),GRANT,knowledge-934,<ns3:para>GRANT (DROP ANY SEQUENCE) システム権限指定（keyword）は未サポートです。</ns3:para>,item-1710,GRANT ($1 :DROP ANY SEQUENCE),TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,GRANT DROP ANY SEQUENCE,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,GRANT ($1 :DROP ANY SEQUENCE)
